gpu_name RTX_3090
mean_duration 4.88443789452652
relevance_pass_rate 0.8381050463439753
bert_raw_avg -0.01644742445191546
bert_pass_rate 0.8638516992790937
mpnet_raw_avg 0.6065265632465187
mpnet_pass_rate 0.862821833161689
dpo_mean -11.135430210478887
dpo_norm_mean 0.6212223768234253
rlhf_mean -0.6671817971849656
rlhf_mean_norm 0.13782578706741333
reciprocate_reward_mean -2.2678419963005103
reciprocate_reward_mean_norm 0.07822316884994507
total_reward 0.3181924428384901
total_reward_excluding_relevance 0.379656994342804
