gpu_name RTX_3090
mean_duration 5.661601336875765
relevance_pass_rate 0.8165566556655666
bert_raw_avg -0.016209334779053786
bert_pass_rate 0.8360836083608361
mpnet_raw_avg 0.6214467412391288
mpnet_pass_rate 0.8377337733773378
dpo_mean -10.647083849009901
dpo_norm_mean 0.619667615057087
rlhf_mean -1.2766477238591525
rlhf_mean_norm 0.13664724476168258
reciprocate_reward_mean -3.8978730844463634
reciprocate_reward_mean_norm 0.08357339249093934
total_reward 0.21690292445049542
total_reward_excluding_relevance 0.2656312001690809
